symbol,ok,bars,days,first,last
NSE:NIFTY26SEP23300CE,True,7727,23.0,2026-08-03 12:33:00,2026-09-08 15:30:00
NSE:NIFTY26SEP23300PE,True,10524,27.0,2026-08-03 09:15:00,2026-09-08 15:30:00
NSE:NIFTY26SEP23350CE,True,2144,7.0,2026-08-04 12:10:00,2026-09-08 15:30:00
NSE:NIFTY26SEP23350PE,True,10459,27.0,2026-08-03 09:15:00,2026-09-08 15:30:00
NSE:NIFTY26SEP23400CE,True,8337,24.0,2026-08-03 14:23:00,2026-09-08 15:30:00
NSE:NIFTY26SEP23400PE,True,10527,27.0,2026-08-03 09:15:00,2026-09-08 15:30:00
NSE:NIFTY26SEP23450CE,True,3044,10.0,2026-08-03 11:31:00,2026-09-08 15:30:00
NSE:NIFTY26SEP23450PE,True,10449,27.0,2026-08-03 09:17:00,2026-09-08 15:30:00
NSE:NIFTY26SEP23500CE,True,10516,27.0,2026-08-03 09:15:00,2026-09-08 15:30:00
NSE:NIFTY26SEP23500PE,True,10528,27.0,2026-08-03 09:15:00,2026-09-08 15:30:00
NSE:NIFTY26SEP23550CE,True,4235,13.0,2026-08-18 12:04:00,2026-09-08 15:30:00
NSE:NIFTY26SEP23550PE,True,10506,27.0,2026-08-03 09:16:00,2026-09-08 15:30:00
NSE:NIFTY26SEP23600CE,True,8734,24.0,2026-08-03 09:28:00,2026-09-08 15:30:00
NSE:NIFTY26SEP23600PE,True,10526,27.0,2026-08-03 09:16:00,2026-09-08 15:30:00
NSE:NIFTY26SEP23650CE,True,4880,15.0,2026-08-03 09:16:00,2026-09-08 15:30:00
NSE:NIFTY26SEP23650PE,True,10480,27.0,2026-08-03 09:16:00,2026-09-08 15:30:00
NSE:NIFTY26SEP23700CE,True,9946,27.0,2026-08-03 09:24:00,2026-09-08 15:30:00
NSE:NIFTY26SEP23700PE,True,10524,27.0,2026-08-03 09:16:00,2026-09-08 15:30:00
NSE:NIFTY26SEP23750CE,True,6288,19.0,2026-08-12 12:22:00,2026-09-08 15:30:00
NSE:NIFTY26SEP23750PE,True,10495,27.0,2026-08-03 09:16:00,2026-09-08 15:30:00
NSE:NIFTY26SEP23800CE,True,10388,27.0,2026-08-03 09:17:00,2026-09-08 15:30:00
NSE:NIFTY26SEP23800PE,True,10527,27.0,2026-08-03 09:15:00,2026-09-08 15:30:00
NSE:NIFTY26SEP23850CE,True,6657,21.0,2026-08-03 11:07:00,2026-09-08 15:30:00
NSE:NIFTY26SEP23850PE,True,10436,27.0,2026-08-03 09:16:00,2026-09-08 15:30:00
NSE:NIFTY26SEP23900CE,True,10341,27.0,2026-08-03 09:15:00,2026-09-08 15:30:00
