entry,exit,flt,off,sl,tp,net,days,wr,worst,best,sl_days
09:25:00,15:15:00,vwap_010,100,0.35,0.75,14980.64,24,75.0,-1460.68,5550.71,1
09:25:00,15:15:00,vwap_010,50,0.35,0.75,13717.83,24,62.5,-1478.7,5987.61,1
09:25:00,15:15:00,vwap_010,50,0.25,0.75,13663.37,24,58.3,-1327.29,5987.61,2
09:25:00,15:15:00,vwap_010,150,0.35,0.75,13316.64,24,66.7,-1413.1,5119.84,1
09:25:00,15:15:00,vwap_010,150,0.25,0.75,13123.23,24,62.5,-1413.1,5119.84,2
09:25:00,15:15:00,vwap_010,100,0.25,0.75,12761.6,24,70.8,-1613.62,5550.71,3
09:45:00,15:15:00,vwap_010,50,0.25,0.75,11247.83,24,58.3,-1191.5,5590.9,3
09:45:00,15:15:00,vwap_010,100,0.35,0.75,10571.19,24,70.8,-962.71,5118.24,1
09:25:00,15:00:00,vwap_010,100,0.35,0.75,9920.1,24,70.8,-1432.29,5302.33,1
09:45:00,15:15:00,vwap_010,50,0.35,0.75,9816.36,24,58.3,-1191.5,5590.9,2
09:25:00,15:15:00,vwap_010,100,0.35,0.5,9693.33,24,75.0,-1460.68,3356.08,1
09:25:00,15:15:00,vwap_010,100,0.35,,9693.33,24,75.0,-1460.68,3356.08,1
09:25:00,15:15:00,move_005,100,0.35,0.75,9648.12,24,70.8,-1852.01,5550.71,1
09:25:00,15:15:00,move_020,100,0.35,0.75,9648.12,24,70.8,-1852.01,5550.71,1
09:25:00,15:15:00,move_010,100,0.35,0.75,9648.12,24,70.8,-1852.01,5550.71,1
09:25:00,15:15:00,none,100,0.35,0.75,9648.12,24,70.8,-1852.01,5550.71,1
09:25:00,15:00:00,vwap_010,100,0.25,0.75,8823.06,24,62.5,-1405.12,5302.33,3
09:25:00,15:15:00,none,50,0.35,0.75,8768.47,24,58.3,-1823.67,5987.61,1
09:25:00,15:15:00,move_005,50,0.35,0.75,8768.47,24,58.3,-1823.67,5987.61,1
09:25:00,15:15:00,move_020,50,0.35,0.75,8768.47,24,58.3,-1823.67,5987.61,1
09:25:00,15:15:00,move_010,50,0.35,0.75,8768.47,24,58.3,-1823.67,5987.61,1
09:25:00,15:15:00,move_010,50,0.25,0.75,8714.01,24,54.2,-1823.67,5987.61,2
09:25:00,15:15:00,move_005,50,0.25,0.75,8714.01,24,54.2,-1823.67,5987.61,2
09:25:00,15:15:00,move_020,50,0.25,0.75,8714.01,24,54.2,-1823.67,5987.61,2
09:25:00,15:15:00,none,50,0.25,0.75,8714.01,24,54.2,-1823.67,5987.61,2
09:45:00,15:15:00,vwap_010,100,0.25,0.75,8549.61,24,66.7,-1679.3,5118.24,4
09:25:00,15:15:00,vwap_010,150,0.35,,8455.02,24,66.7,-1413.1,3356.08,1
09:25:00,15:15:00,vwap_010,150,0.35,0.5,8455.02,24,66.7,-1413.1,3356.08,1
09:25:00,15:15:00,move_010,150,0.35,0.75,8443.57,24,62.5,-1616.46,5119.84,1
09:25:00,15:15:00,move_005,150,0.35,0.75,8443.57,24,62.5,-1616.46,5119.84,1
